"bin","parent_mid","cond_mean","cond_var","n_obs","dataset","edge"
1,0.370106039839244,5.05397078492916,10.3766466370998,1667,"A (Gamma BN)","Z1 -> Z2"
2,0.707327226173858,6.13707872802809,12.9193425068879,1667,"A (Gamma BN)","Z1 -> Z2"
3,0.945198231187287,6.89404170784401,14.7491675947831,1666,"A (Gamma BN)","Z1 -> Z2"
4,1.15863087860987,7.34637227664923,14.4801968503333,1667,"A (Gamma BN)","Z1 -> Z2"
5,1.36520842457808,8.34341018844698,17.6329635878745,1667,"A (Gamma BN)","Z1 -> Z2"
6,1.55132647556279,8.64337162740332,16.6357318403543,1666,"A (Gamma BN)","Z1 -> Z2"
7,1.73569526537394,9.08766483447511,17.2355737784718,1667,"A (Gamma BN)","Z1 -> Z2"
8,1.92017706135311,9.70573554318299,20.4573715134949,1667,"A (Gamma BN)","Z1 -> Z2"
9,2.09866553959035,10.344994386112,22.1103016748974,1666,"A (Gamma BN)","Z1 -> Z2"
10,2.28729167730741,10.762825803235,21.4128918499437,1667,"A (Gamma BN)","Z1 -> Z2"
11,2.471295399057,11.4126867544704,23.9576316576371,1666,"A (Gamma BN)","Z1 -> Z2"
12,2.66005878606664,12.1441166850417,23.21255767701,1667,"A (Gamma BN)","Z1 -> Z2"
13,2.85860458602753,12.4412870210649,24.5330425025271,1667,"A (Gamma BN)","Z1 -> Z2"
14,3.0510585580419,12.7756582515858,25.5190219402375,1666,"A (Gamma BN)","Z1 -> Z2"
15,3.25295610712675,13.7302250417302,26.8562520297045,1667,"A (Gamma BN)","Z1 -> Z2"
16,3.45920395611806,14.3075636308885,28.2814656490258,1667,"A (Gamma BN)","Z1 -> Z2"
17,3.67805540056985,15.2657591943854,29.837998580071,1666,"A (Gamma BN)","Z1 -> Z2"
18,3.91613096852592,15.8599050192575,30.0319003237398,1667,"A (Gamma BN)","Z1 -> Z2"
19,4.17131050311829,16.5062706788657,34.9197005400138,1667,"A (Gamma BN)","Z1 -> Z2"
20,4.44923497981624,17.4461399738646,35.9602585598018,1666,"A (Gamma BN)","Z1 -> Z2"
21,4.7416108227083,17.8983744913306,34.6336047782468,1667,"A (Gamma BN)","Z1 -> Z2"
22,5.06567354488413,19.2015889378828,38.4001848933294,1666,"A (Gamma BN)","Z1 -> Z2"
23,5.42351966929881,20.4645918860696,40.35273417522,1667,"A (Gamma BN)","Z1 -> Z2"
24,5.81503792080451,21.4609157900225,41.9310027648313,1667,"A (Gamma BN)","Z1 -> Z2"
25,6.2553174906422,22.7301365841752,44.9541849928014,1666,"A (Gamma BN)","Z1 -> Z2"
26,6.80239091418776,24.2141865200495,46.2847175569026,1667,"A (Gamma BN)","Z1 -> Z2"
27,7.44888508259223,26.2550003808074,54.3425743809862,1667,"A (Gamma BN)","Z1 -> Z2"
28,8.32940815036034,29.1339725036399,56.4250467143075,1666,"A (Gamma BN)","Z1 -> Z2"
29,9.64061304660178,32.9082281034834,66.8933015268323,1667,"A (Gamma BN)","Z1 -> Z2"
30,12.9461029205366,42.6958132617387,128.986273209012,1667,"A (Gamma BN)","Z1 -> Z2"
1,0.371835343671121,3.66382945872368,4.99573861289068,1667,"B (Nonparanormal)","Z1 -> Z2"
2,0.702996202262144,5.48696989070841,8.12163577824614,1667,"B (Nonparanormal)","Z1 -> Z2"
3,0.941119021251118,6.37438940171129,10.18634172716,1666,"B (Nonparanormal)","Z1 -> Z2"
4,1.15147053405,7.29894381519087,12.1752879279113,1667,"B (Nonparanormal)","Z1 -> Z2"
5,1.35439931066754,8.05278781291439,12.1100211579074,1667,"B (Nonparanormal)","Z1 -> Z2"
6,1.54118142049412,8.82081543435528,15.8907219580492,1666,"B (Nonparanormal)","Z1 -> Z2"
7,1.72935623919098,9.54410443909162,16.928538933353,1667,"B (Nonparanormal)","Z1 -> Z2"
8,1.91926142508095,10.0695849047617,18.6003296086528,1667,"B (Nonparanormal)","Z1 -> Z2"
9,2.1019595111084,10.6701154544562,20.2359526640963,1666,"B (Nonparanormal)","Z1 -> Z2"
10,2.28619299256139,11.3280039405292,22.1694078775473,1667,"B (Nonparanormal)","Z1 -> Z2"
11,2.46630345792036,11.8425426133789,22.7012496494873,1666,"B (Nonparanormal)","Z1 -> Z2"
12,2.65126187939857,12.5498813203663,26.7463060871439,1667,"B (Nonparanormal)","Z1 -> Z2"
13,2.85240258524528,13.2452213147911,27.3164677643021,1667,"B (Nonparanormal)","Z1 -> Z2"
14,3.04378639022117,13.9774292047991,30.8148837072099,1666,"B (Nonparanormal)","Z1 -> Z2"
15,3.24362149844541,14.5297976766168,31.4868464218359,1667,"B (Nonparanormal)","Z1 -> Z2"
16,3.45090780419865,14.8148415101899,32.1360055360031,1667,"B (Nonparanormal)","Z1 -> Z2"
17,3.67179246150037,15.7660820011193,36.6801063088143,1666,"B (Nonparanormal)","Z1 -> Z2"
18,3.91723905113633,16.2008190283685,37.0943496378547,1667,"B (Nonparanormal)","Z1 -> Z2"
19,4.17107046362972,16.8824521757601,40.632620867049,1667,"B (Nonparanormal)","Z1 -> Z2"
20,4.44522900273218,18.009099399773,43.3088673155237,1666,"B (Nonparanormal)","Z1 -> Z2"
21,4.74083097515159,18.4136155947871,44.232925811364,1667,"B (Nonparanormal)","Z1 -> Z2"
22,5.07124206124161,19.5583367851821,47.2047785156787,1666,"B (Nonparanormal)","Z1 -> Z2"
23,5.43006791487585,20.2818058381054,50.8330213450918,1667,"B (Nonparanormal)","Z1 -> Z2"
24,5.81900542684067,21.4637168246545,52.5970931113974,1667,"B (Nonparanormal)","Z1 -> Z2"
25,6.25428627427,22.9623950086136,60.7659713885571,1666,"B (Nonparanormal)","Z1 -> Z2"
26,6.80589585425961,24.3687589105825,66.723068885607,1667,"B (Nonparanormal)","Z1 -> Z2"
27,7.42995719651978,25.6872836508923,69.290393571156,1667,"B (Nonparanormal)","Z1 -> Z2"
28,8.32459593680816,27.9150365046569,80.5742872518779,1666,"B (Nonparanormal)","Z1 -> Z2"
29,9.63716129083137,31.6877174109522,98.0775931187024,1667,"B (Nonparanormal)","Z1 -> Z2"
30,12.9206829500837,39.8524744264282,145.399671509849,1667,"B (Nonparanormal)","Z1 -> Z2"
1,2.18850115789296,10.5873783529219,23.9593756991454,1667,"A (Gamma BN)","Z2 -> Z3"
2,3.71133859086336,15.2542431375777,32.7549437064246,1667,"A (Gamma BN)","Z2 -> Z3"
3,4.73919309540327,18.254650591323,36.1251197241713,1666,"A (Gamma BN)","Z2 -> Z3"
4,5.62075056706917,20.8251092804716,39.8895677575611,1667,"A (Gamma BN)","Z2 -> Z3"
5,6.41287120243664,23.609349534636,53.0013879238494,1667,"A (Gamma BN)","Z2 -> Z3"
6,7.15647054765925,25.4158429458324,47.4997678154137,1666,"A (Gamma BN)","Z2 -> Z3"
7,7.86469355704209,27.827883355428,54.418515154711,1667,"A (Gamma BN)","Z2 -> Z3"
8,8.52584743536224,29.9271341904954,62.2609866672648,1667,"A (Gamma BN)","Z2 -> Z3"
9,9.20722452126682,31.6147114009028,66.2139557735236,1666,"A (Gamma BN)","Z2 -> Z3"
10,9.8949612129973,33.6548214154186,66.3110969055409,1667,"A (Gamma BN)","Z2 -> Z3"
11,10.6141540402166,35.9845321441226,72.2641760275772,1666,"A (Gamma BN)","Z2 -> Z3"
12,11.3017916481737,37.8642004544717,77.5674531943086,1667,"A (Gamma BN)","Z2 -> Z3"
13,11.9946439647748,40.0500871459347,83.975698149373,1667,"A (Gamma BN)","Z2 -> Z3"
14,12.7267546170169,42.2984594511287,85.5329314641811,1666,"A (Gamma BN)","Z2 -> Z3"
