"replication_id","N","simulator","gcm_null_p","gcm_alt_p","gcm_null_reject","gcm_alt_reject","kci_null_p","kci_alt_p","kci_null_reject","kci_alt_reject","rcot_null_p","rcot_alt_p","rcot_null_reject","rcot_alt_reject","pcor_null_p","pcor_alt_p","pcor_null_reject","pcor_alt_reject","ks_Z1_p","ks_Z2_p","ks_Z3_p","ks_Y_p","delta_Z1_mean_abs","delta_Z2_mean_abs","delta_Z3_mean_abs","delta_Z2_mean_abs_tail","delta_Z3_mean_abs_tail","delta_Z2_mean_abs_mid","delta_Z3_mean_abs_mid"
1,1000,"BN",0.243008829864559,0.787671489154727,FALSE,FALSE,NA,NA,NA,NA,0.555217909862846,0.0376016755695131,FALSE,TRUE,0.252378494347754,0.920811095064084,FALSE,FALSE,0.702246638992426,0.839394068212909,0.839343506618647,0.985757718052196,1.25264382200285e-17,0.216749708003589,0.268198998446663,0.195087342413014,0.282094937920696,0.21923713682837,0.266858162181625
2,1000,"BN",0.0509087642426906,0.209389699571755,FALSE,FALSE,NA,NA,NA,NA,0.302078304563374,0.108297861232587,FALSE,FALSE,0.0250519805221305,0.702673498000016,TRUE,FALSE,0.0468793089305809,0.594588390198092,0.521960839057865,0.258419598719428,1.25804585932726e-17,0.205719315076464,0.264014550709491,0.134661401409964,0.276992967280075,0.212235542967278,0.262491943178864
3,1000,"BN",0.584543872292205,0.0428170300980002,FALSE,TRUE,NA,NA,NA,NA,0.545222450595252,0.00106305861405287,FALSE,TRUE,0.690125362169367,0.934138364888707,FALSE,FALSE,0.164348692501613,0.294413054234426,0.599378746895019,0.0397048345175453,1.42939046016144e-17,0.208847659100537,0.272647807353872,0.148798120881871,0.334011347864359,0.217113864020285,0.266131325175768
4,1000,"BN",0.21405578882873,0.217326026703332,FALSE,FALSE,NA,NA,NA,NA,0.238613715800364,0.0180388183787688,FALSE,TRUE,0.629149114391824,0.866193441113666,FALSE,FALSE,0.8287622249307,0.609219738180216,0.335152865794174,0.826433825526202,1.32881986664168e-17,0.202946404294693,0.265336336034137,0.134933919808804,0.243566010202322,0.21118109972572,0.268165248430362
5,1000,"BN",0.13210665640227,0.379603214541699,FALSE,FALSE,NA,NA,NA,NA,0.547443480199993,0.0365654357863364,FALSE,TRUE,0.307410907607135,0.33479813210244,FALSE,FALSE,0.206308774208873,0.362397246952337,0.805453238258155,0.729852191122188,1.18956493960765e-17,0.202786229548033,0.274362134706429,0.147749404575364,0.282366657844532,0.209380787523481,0.273560801807015
6,1000,"BN",0.303774206302021,0.418907006420814,FALSE,FALSE,NA,NA,NA,NA,0.695211914728846,0.00811919456583632,FALSE,TRUE,0.845716758134249,0.0642461857544157,FALSE,FALSE,0.973760815516324,0.662899238886141,0.917172469889577,0.655109643532857,1.19492089833972e-17,0.209671715466786,0.253328210362989,0.132132632618498,0.274908159614747,0.217434153903744,0.251219960655627
7,1000,"BN",0.846207004646132,0.801538198779186,FALSE,FALSE,NA,NA,NA,NA,0.408277904236745,0.000103973203584684,FALSE,TRUE,0.888147742299142,0.696073444501997,FALSE,FALSE,0.903139685148191,0.459191703737298,0.905669567206832,0.165542572518806,1.36752588419942e-17,0.210050743608569,0.261168845909009,0.194047736934234,0.278447686361395,0.211828855461272,0.259184765009794
8,1000,"BN",0.473762077040445,0.0295398465445723,FALSE,TRUE,NA,NA,NA,NA,0.406215516745367,0.113048930310712,FALSE,FALSE,0.0457633905062385,0.131842121652383,TRUE,FALSE,0.097552303216016,0.107611735556353,0.243992527558607,0.426634013912334,1.23668436602387e-17,0.217676858630791,0.275067513321673,0.140528634156168,0.314374703384836,0.227505211917862,0.27094134419902
9,1000,"BN",0.796446072613408,0.774357077869694,FALSE,FALSE,NA,NA,NA,NA,0.383032613064412,0.00823996029805629,FALSE,TRUE,0.598155094404907,0.869885048134851,FALSE,FALSE,0.70194864322611,0.359944436013795,0.269912763197442,0.389039578311228,1.13994642718385e-17,0.207729590367849,0.261061420387166,0.144815437114871,0.256620677416693,0.215346999057671,0.261576863767667
10,1000,"BN",0.32324999855196,0.591182120559277,FALSE,FALSE,NA,NA,NA,NA,0.33032813878566,0.326742431492069,FALSE,FALSE,0.469555424535349,0.644869672527515,FALSE,FALSE,0.948074145746777,0.170087163056438,0.390434212558272,0.52109555608978,1.35158811226388e-17,0.213653743953386,0.258872689279524,0.166414391150023,0.269677185449637,0.21907810664987,0.25771207341186
11,1000,"BN",0.916695706744195,0.308505146457771,FALSE,FALSE,NA,NA,NA,NA,0.760737858283845,0.00927591015775675,FALSE,TRUE,0.626331758010643,0.902712775128284,FALSE,FALSE,0.855223836368086,0.446256920269495,0.331346781190695,0.742374791158615,1.26851654180804e-17,0.19931581457057,0.272679513464385,0.114216213473459,0.279994222851432,0.210482730551638,0.271866767976936
12,1000,"BN",0.00265802354960775,0.0521614159397536,TRUE,FALSE,NA,NA,NA,NA,0.529353273183506,0.0284259063257244,FALSE,TRUE,0.00180302235609341,0.0875091182810786,TRUE,FALSE,0.535021830843048,0.412092296130015,0.424738487444371,0.432820972100077,1.3461101807874e-17,0.213210791229625,0.270297120518856,0.178768712665231,0.240069889752981,0.217080257230742,0.273396494787022
13,1000,"BN",0.44926344344194,0.867631483032884,FALSE,FALSE,NA,NA,NA,NA,0.254772269112546,0.0635838469135485,FALSE,FALSE,0.543373756869934,0.642498056154643,FALSE,FALSE,0.96634758946958,0.690757800703312,0.970167086921677,0.540666116246548,1.25878040629912e-17,0.206478907909395,0.273679779647138,0.163914819069936,0.296553491047098,0.211847351546805,0.271024795288214
14,1000,"BN",0.191223781769431,0.034490887755802,FALSE,TRUE,NA,NA,NA,NA,0.128855085490186,0.103738077443386,FALSE,FALSE,0.646336669030138,0.956901871107106,FALSE,FALSE,0.604243979334661,0.763728455674099,0.899227110280768,0.563925526373859,1.43126341941441e-17,0.204064503113256,0.269750009565851,0.160527061191603,0.317024283028556,0.208634731823264,0.26535841039172
15,1000,"BN",0.950350901212225,0.815479465369696,FALSE,FALSE,NA,NA,NA,NA,0.140693925929763,0.401142838001561,FALSE,FALSE,0.244938443657366,0.789748108322762,FALSE,FALSE,0.107440794497993,0.369591182882039,0.192996756661582,0.220962321955325,1.14022831974869e-17,0.217043860790449,0.263269432856683,0.182462933665264,0.28623440985168,0.220505757785379,0.260517750282814
