"replication_id","N","simulator","gcm_null_p","gcm_alt_p","gcm_null_reject","gcm_alt_reject","kci_null_p","kci_alt_p","kci_null_reject","kci_alt_reject","rcot_null_p","rcot_alt_p","rcot_null_reject","rcot_alt_reject","pcor_null_p","pcor_alt_p","pcor_null_reject","pcor_alt_reject","ks_Z1_p","ks_Z2_p","ks_Z3_p","ks_Y_p","delta_Z1_mean_abs","delta_Z2_mean_abs","delta_Z3_mean_abs","delta_Z2_mean_abs_tail","delta_Z3_mean_abs_tail","delta_Z2_mean_abs_mid","delta_Z3_mean_abs_mid"
1,1000,"GAUSS",0.996530925756886,0.0881771715639262,FALSE,FALSE,NA,NA,NA,NA,0.717314584721695,0.00101037768163903,FALSE,TRUE,0.607107738450578,0.901658547352549,FALSE,FALSE,0.85249565411577,0.763361318448804,0.882457968582765,0.127029645860072,NA,NA,NA,NA,NA,NA,NA
2,1000,"GAUSS",0.548826895501626,0.00204750875260231,FALSE,TRUE,NA,NA,NA,NA,0.0194373293939352,0.0808265282533953,TRUE,FALSE,0.190570961478358,0.000165495291708008,FALSE,TRUE,0.674978293183236,0.369434648574506,0.73196801586893,0.298136401576423,NA,NA,NA,NA,NA,NA,NA
3,1000,"GAUSS",0.871688393762041,0.000384870572241965,FALSE,TRUE,NA,NA,NA,NA,0.971889588718058,0.00775924828976005,FALSE,TRUE,0.772920014611285,0.00306793607359709,FALSE,TRUE,0.625835484244025,0.401587866565238,0.697396312121716,0.586591382595689,NA,NA,NA,NA,NA,NA,NA
4,1000,"GAUSS",0.15653582314889,0.136274240891474,FALSE,FALSE,NA,NA,NA,NA,0.32066032946354,0.000199959107863634,FALSE,TRUE,0.20918029375641,0.800815362042888,FALSE,FALSE,0.734291197944372,0.896085540330463,0.883249040343647,0.626743764401071,NA,NA,NA,NA,NA,NA,NA
5,1000,"GAUSS",0.376161465274455,0.00918268381269564,FALSE,TRUE,NA,NA,NA,NA,0.065477657876424,6.62287403592199e-05,FALSE,TRUE,0.794726913286251,0.0341416873775483,FALSE,TRUE,0.133443270631104,0.849292229187835,0.270097698678532,0.380954403382424,NA,NA,NA,NA,NA,NA,NA
6,1000,"GAUSS",0.0382577272889572,0.0290243233632641,TRUE,TRUE,NA,NA,NA,NA,0.0251672658199182,9.35932560897079e-07,TRUE,TRUE,0.0366669416020864,0.120549714012805,TRUE,FALSE,0.745187937919891,0.681859645049905,0.480129757147323,0.88799772123475,NA,NA,NA,NA,NA,NA,NA
7,1000,"GAUSS",0.335983653859041,0.0442226090307542,FALSE,TRUE,NA,NA,NA,NA,0.599725955915606,3.0328892302034e-06,FALSE,TRUE,0.236800755855848,0.0170685226475418,FALSE,TRUE,0.0567901994930705,0.371088734895513,0.653497548317972,0.0674475914751845,NA,NA,NA,NA,NA,NA,NA
8,1000,"GAUSS",0.949582327963621,0.0144256697976667,FALSE,TRUE,NA,NA,NA,NA,0.413595970428595,5.02526656842583e-07,FALSE,TRUE,0.810494747854858,0.0400793627426427,FALSE,TRUE,0.569599430103548,0.213019592178301,0.882581484889357,0.940998179315474,NA,NA,NA,NA,NA,NA,NA
9,1000,"GAUSS",0.127407567624861,3.7758919690213e-05,FALSE,TRUE,NA,NA,NA,NA,0.820848285839413,1.17794662912729e-12,FALSE,TRUE,0.577305134871371,0.00698146899834826,FALSE,TRUE,0.763208310883974,0.625785132316907,0.503137221374302,0.147439681501829,NA,NA,NA,NA,NA,NA,NA
10,1000,"GAUSS",0.70738089901055,0.0234652154712329,FALSE,TRUE,NA,NA,NA,NA,0.70800863035947,0.00056184383498481,FALSE,TRUE,0.297538450758808,0.123784542988481,FALSE,FALSE,0.364850170923247,0.376199167249379,0.262638225825319,0.908846577718291,NA,NA,NA,NA,NA,NA,NA
11,1000,"GAUSS",0.389661978938888,0.0254131902322113,FALSE,TRUE,NA,NA,NA,NA,0.599909176456537,1.36746228784901e-08,FALSE,TRUE,0.273120522864636,0.139846209901103,FALSE,FALSE,0.376648858605693,0.63760759126542,0.0966833289557784,0.989382555649424,NA,NA,NA,NA,NA,NA,NA
12,1000,"GAUSS",0.440016194716073,0.0452867943691138,FALSE,TRUE,NA,NA,NA,NA,0.474157875436475,6.32874211743406e-05,FALSE,TRUE,0.567883980029402,0.0571133045082271,FALSE,FALSE,0.996937066148287,0.84294241528559,0.501530616094328,0.854900710862242,NA,NA,NA,NA,NA,NA,NA
13,1000,"GAUSS",0.79569145088001,0.0739519885817351,FALSE,FALSE,NA,NA,NA,NA,0.131660664225835,1.6446985601215e-06,FALSE,TRUE,0.844137961344192,0.0790737360665288,FALSE,FALSE,0.739622702241631,0.744818410361451,0.46154863275002,0.611507562011746,NA,NA,NA,NA,NA,NA,NA
14,1000,"GAUSS",0.170826209083305,0.012636353401916,FALSE,TRUE,NA,NA,NA,NA,0.457443055194971,2.42590835197731e-08,FALSE,TRUE,0.165886153856805,0.277234898326013,FALSE,FALSE,0.940284601406549,0.311020035750569,0.697413154479854,0.133669803714813,NA,NA,NA,NA,NA,NA,NA
15,1000,"GAUSS",0.755716388345344,4.16021710328018e-06,FALSE,TRUE,NA,NA,NA,NA,0.716276540402357,0.00191976744981381,FALSE,TRUE,0.729888311105141,0.00123134182331923,FALSE,TRUE,0.267320054577727,0.631919324074819,0.621599158107264,0.933786530156645,NA,NA,NA,NA,NA,NA,NA
16,1000,"GAUSS",0.509861237041285,0.000730525730287776,FALSE,TRUE,NA,NA,NA,NA,0.721667903423227,5.10413933341169e-12,FALSE,TRUE,0.831136370523348,0.00162686260539958,FALSE,TRUE,0.548731618065853,0.829135321826348,0.535029033645407,0.887298612586658,NA,NA,NA,NA,NA,NA,NA
17,1000,"GAUSS",0.878361801795642,0.55104548849703,FALSE,FALSE,NA,NA,NA,NA,0.620100185638921,7.11860518309848e-08,FALSE,TRUE,0.743543717933219,0.934809707866165,FALSE,FALSE,0.195324655977281,0.515734214182255,0.667354465013303,0.24337587726253,NA,NA,NA,NA,NA,NA,NA
18,1000,"GAUSS",0.809493625449269,0.272906343749342,FALSE,FALSE,NA,NA,NA,NA,0.592718105673285,3.50474329784412e-05,FALSE,TRUE,0.992367011619023,0.303121757087651,FALSE,FALSE,0.132169202593516,0.157489913656908,0.14142585361672,0.46423508728266,NA,NA,NA,NA,NA,NA,NA
19,1000,"GAUSS",0.851587616123881,0.00606324828938482,FALSE,TRUE,NA,NA,NA,NA,0.896953312244152,0.000386894239904567,FALSE,TRUE,0.930878206539839,0.125762242294529,FALSE,FALSE,0.615915713625263,0.0565100018859193,0.177631097338807,0.349679063836434,NA,NA,NA,NA,NA,NA,NA
20,1000,"GAUSS",0.542305141259304,0.0121828048438136,FALSE,TRUE,NA,NA,NA,NA,0.301088862977308,2.81345729724602e-06,FALSE,TRUE,0.718241130822786,0.022308087094662,FALSE,TRUE,0.218427247400972,0.332445018451312,0.0243035852895355,0.186102555954673,NA,NA,NA,NA,NA,NA,NA
21,1000,"GAUSS",0.458426318362701,0.00157652084745,FALSE,TRUE,NA,NA,NA,NA,0.0752905222078287,5.40964313344716e-08,FALSE,TRUE,0.982933549053629,0.00846728551522487,FALSE,TRUE,0.45446392817264,0.469440938282585,0.198891842565202,0.165759477840417,NA,NA,NA,NA,NA,NA,NA
